orig_chain_id,orig_timestamp,orig_tx_hash,dst_chain_id,dst_timestamp,dst_tx_hash,deposit_id,origin_token,dst_token,sender,beneficiary,amount,value_usd,time_difference,day_rounded,datetime_group
6648936,1641902381,0xa51f6536edb8eefdf9b204eaa4cdf9086156b9fed0c4eac330b19176edac6332,1650811245,1641906546,0x9dd2711199aa3b0f97f847f56937c7fc2963ae650ffe9739e536267d6e9da21c,0,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8e70cd5b4ff3f62659049e74b6649c6603a0e594,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,13000000,13.003765658,4165,7,2022-01-07 00:00
6648936,1641902381,0xdeed77b075575fb2b7922395ed1f8373b9aaea8be79579ce2421a227c077fc96,1650811245,1641906672,0xc5fadbe9a551fa8e0b4bc045b150647553f9e5e6e75f602b0a02e805a908de68,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8f552a71efe5eefc207bf75485b356a0b3f01ec9,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,9674180,9.672239185356759,4291,7,2022-01-07 00:00
6648936,1641902412,0x2a041801a2d51a4436e88d07f7d8538cc5f3ede9cd5204191f6c555a0b899d1b,1650811245,1641906798,0x6c9391a28f34e21a54ccbb3b5047eab5a751f5181e38e8c05bd9f441b2b8ef03,2,0x6b175474e89094c44da98b954eedeac495271d0f,0xc234a67a4f840e61ade794be47de455361b52413,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,2375430000000000000,2.37810057005121,4386,7,2022-01-07 00:00
6648936,1641902516,0x0f94ca804282a0aa119a6477dd85c188411cdd1cc87905ad8727f41b493808c9,1650811245,1641906942,0xff3698288619accc4eb458ee237e507a579164f8e7b1d9cabc653e0602adfe0b,3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1dc78acda13a8bc4408b207c9e48cdbc096d95e0,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,120811,53.02917355564281,4426,7,2022-01-07 00:00
6648936,1641902789,0xbae87a357dfa789164764c90635b336cc5bbe56274af6032659864bc369a1170,1650811245,1641907098,0xe6b6029910c0ef6ad983cac06256b87946f5e9e26d371a56e6e4dfb063cb1b2f,4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x30d2a9f5fdf90ace8c17952cbb4ee48a55d916a7,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,0xa5bd5c661f373256c0ccfbc628fd52de74f9bb55,10000000000000000,33.78895655,4309,7,2022-01-07 00:00
6648936,1641905876,0x95b21a4c9585c2850a0cc777cc0a35d24aa7dd3295a772c062d031c6daa66427,1650811245,1641907872,0x4f672abe018f3a1fc65077f12fe86ea2266a61c90808d4b9c3c7d2143e57aa60,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x30d2a9f5fdf90ace8c17952cbb4ee48a55d916a7,0x67dc81f0152b49db9ce5ca6007d7f744b266eb1b,0x67dc81f0152b49db9ce5ca6007d7f744b266eb1b,10000000000000000,33.78895655,1996,7,2022-01-07 00:00
6648936,1641908714,0x8b694adbb6d4598a9b967d8b04a00b9b3bc68293795fffd408c65d50b416862b,1650811245,1641910680,0x600b1cba8b68c96ca438f0fa9f014a84d96675709972d6aa9e98642db0546ddd,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8f552a71efe5eefc207bf75485b356a0b3f01ec9,0xf7f0cfc3772d29d4cc1482a2acb7be16a85a2223,0xf7f0cfc3772d29d4cc1482a2acb7be16a85a2223,100000000000,99979.93819999999,1966,7,2022-01-07 00:00
6648936,1641908890,0xd14c433a24288d5648afe88d701df0957958c015757bd2f1b77212a2854f1c28,1650811245,1641917016,0x89bba4a8dfc52cdef02e17aea0a1a40b703ab9241cb4f82c0939f53a63d98d99,7,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8e70cd5b4ff3f62659049e74b6649c6603a0e594,0xf7f0cfc3772d29d4cc1482a2acb7be16a85a2223,0xf7f0cfc3772d29d4cc1482a2acb7be16a85a2223,150000000000,150043.4499,8126,7,2022-01-07 00:00
6648936,1641909328,0x31cdbdd192982252f599a13c98ca26ec0d6f3975fb45a45fe9ce5c82dbbe1e14,1650811245,1641917058,0x417a47e9051dde07e17caa2ba38f89bba8ed3541c7a28cddd08763d7fc9385d7,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x30d2a9f5fdf90ace8c17952cbb4ee48a55d916a7,0x23bca3f361c89a4da94784dc26b70dd04b5558e0,0x23bca3f361c89a4da94784dc26b70dd04b5558e0,12000000000000000,40.546747859999996,7730,7,2022-01-07 00:00
6648936,1641910671,0x73040a435145f8a237f27dd72dacf3830d55115351c1940c40900316c7f1a8c2,1650811245,1641917118,0xace9b01fd3e0b4128eab717b45ed4b61f247ceeabc2aa1280797f2da6254a7a9,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x30d2a9f5fdf90ace8c17952cbb4ee48a55d916a7,0xffffffffff402b1b62421a978cf93a56453d1496,0xffffffffff402b1b62421a978cf93a56453d1496,150000000000000000000,506834.34825,6447,7,2022-01-07 00:00
